name,description,instructions,ingredients,source
Bolu Pisang Kukus Takaran Sendok,,"[""Siapkan bahan. Oles loyang uk.18 dg minyak tipis. Panaskan kukusan"", ""Hancurkan pisang dg garpu.sisihkan, Kocok telur dan gula dg whisk hingga larut."", ""Masukkan pisang aduk rata, tambahkan tepung, baking powder dan soda kue sedikit demi sedikit aduk rata."", ""Masukkan minyak aduk rata, pastikan tdk ada yg mengendap dibawah"", ""Masukkan kedalam loyang hentakan perlahan"", ""Masukkan dalam kukusan yg beruap banyak, masak selama 30 mnt atau hingga matang. Keluarkan dari kukusan dan lepaskan dari cetakan""]","['4 bh pisang barangan (200 gr), '3 btr telur', '9 sdm gula pasir', '11 sdm tepung pro sedang', '11 sdm minyak', '1/2 sdt baking powder', '1/2 :sdt soda kue', 'Vanili']",https://cookpad.com/id/resep/17189446-bolu-pisang-kukus-takaran-sendok
Bolu panggang pisang bolin,,"[""Pecahahkan telur 2 btr, tambahkan SP"", ""Tambahkan gula"", ""Mixer bhan td dgn speed 4, sampai kental berjejak, aku mix 10 menit"", ""Matikan mixer, tambahkan terigu dan pisang marlin yg sudah di serut kedalam adonan, aduk dn spatula, tambahkan minyak"", ""Aduk rata, tuang ke loyang persegi panjang, hentakkan Agar rata, taburi dgn wijen atasnya,, masukkan ke oven yg sdh dipanaskan, oven 40 menit"", ""Cek berkala, jikq sudah matang, angkat, potong2, dan sajikan,..""]","['2 btr Telur', '1/2 sdm SP', '11 sdm Gula', '12 sdm Terigu', 'Pisang bolin 2 buah, serut pakai sendok', 'Minyak 50 ml', 'wijen utk taburan']",https://cookpad.com/id/resep/17189448-bolu-panggang-pisang-bolin
Pisang Uli Goreng,,"[""Dalam wadah masukkan bahan keringnya aduk rata.Tuang susu / air secara bertahap,aduk rata (jangan terlalu encer)"", ""Masukkan pisang yg sudah dipotong2,masukkan kedalam adonan."", ""Panaskan wajan yang sudah diberi minyak sayur yang sudah dipanaskan sebelumnya. balik dan tiriskan.Selamat menikmati.""]","['8 buah pisang uli matang, potong bulat sesuai selera', '3 sdm tepumg terigu sedang', '1 sdm maizena', 2 sdm gula pasir', '120-150 ml susu UHT (bisa gunakan air matang)', 'Sedikit Baking Powder', 'Sedikit garam']",https://cookpad.com/id/resep/17185383-pisang-uli-goreng
Kolak Pisang Uli dan kolang Kaling,,"[""Cuci bersih kolang kaling hingga tidak berlendir,lakukan berulang kali.Gunakan pisang yg sudah matang tapi masih segar dagingnya"", ""Rebus air + daun pandan hingga mendidih,lalu masukkan kolang kaling rebus hingga matang. Note : Saat perebusan kolang kaling,hindari gula / garam dimasukkan bersama agar proses pengempukan daging kolang kaling cepat empuk."", ""Setelah kolang kaling matang, masukkan gula pasir, gula merah, santan dan garam, aduk rata hingga mendidih,jangan sampai santan pecah."", ""Kupas pisang dan potong sesuai selera (sebaiknya pisang dikupas mendadak) dan masukkan kedalam santan yang sudah mendidih.Biarkan pisang terebus sebentar,,sambil koreksi rasa, matikan api kompor."", ""Kolak pisang uli dan Kolang Kaling siap dinikmati, cocok dihidangkan hangat / dingin""]","['8 buah pisang uli matang', '250 gr kolang kaling', '100 ml santan instan', '1 lbr daun pandan, di simpul', '1500 ml air (resep awla 1100ml)', '100 gr gula pasir (bisa sesuaikan manisnya)', '1 keping (100 gr) gula merah / Aren', '1/2 sdt garam']",https://cookpad.com/id/resep/17179111-kolak-pisang-uli-dan-kolang-kaling
Kue Bolu Pisang ala anak kos,,"[""Haluskan pisang di wadah menggunakan garpu/whisk jika punya. Kemudian di wadah lain kocok telur, masukkan gula dan garam terus kocok kembali"", ""Setelah tercampur rata masukkan tepung terigu dan soda kue, aduk-aduk sampai semua bahan tercampur rata. Masukkan pisang yang sudah dihaluskan tadi dan koreksi rasa."", ""Masukkan minyak goreng aduk lagi sampe agak sedikit kental. Olesi panci rice cooker dengan margarin tadi, tuang adonan tadi ke dalam panci."", ""Tekan tombol cook biarkan sampai tombol pindah ke warm. Cabut colokan biarkan lagi sampai 5 menit, kemudian masak lagi selama 2 menit. Ulangi hal yang sama sampai kue mateng, cook 2 menit off 5 menit. Setelah itu tusuk kue dengan tusuk gigi jika tidak lengket lagi tandanya kue sudah mateng."", ""Keluarkan kue, taruh dipiring potong lalu kue siap disajikan dan dimakan tentunya kuenya lembut.""]","['2 buah Pisang', '2 butir Telur', '3 sdm Gula pasir, bisa disesuaikan sampe dirasa cukup manis', '9 sdt Tepung Terigu', '3 sdm Minyak goreng', '1/2 sdm Soda kue', 'sejumput Garam', 'secukupnya Margarin buat olesan']",https://cookpad.com/id/resep/17189122-kue-bolu-pisang-ala-anak-kos
Kue Khamir Pisang,,"[""Rebus santan hingga berbuih (jngn lupa aduk2 agar tdk pecah) setelah hangat tuang ragi dan gula ke dalam santan. Pada wadah lain lumatkan pisang, lalu tambahkan telur aduk rata sambil masukkan tepung terigu dan santan bergantian, terakhir masukkan parutan kelapa dan margarin cair aduk kembali hingga rata. Tutup dgn serbet diamkan -/+1jam"", ""Panaskan cetakan, olesi tipis2 dengan margarin lalu tuang adonan dan tutup dengan tutup panci. Jika bagian atas sudah tidak basah/tampak lubang2 boleh balik adonan dan tutup kembali, biarkan hingga matang dan angkat. Ulangi hingga adonan habis"", ""Siap di hidangkan untuk sarapan bersama segelas teh tawar hangat. untuk cemilan mpasi pun bisa tinggal sesuaikan bahan dan gulanya saja. Selamat mencobaa :)""]","['2 buah pisang (sy pakai kepok)', '125 gr terigu', '1 butir telur', '100 ml santan', '50 gr gula pasir', '50 gr kelapa parut', '1/2 sdt ragi instan', '2 sdm margarine cai']",https://cookpad.com/id/resep/17188033-kue-khamir-pisang
Hamburg Steak Kulit Pisang,,"[""Cuci bersih kulit pisang di air mengalir helai per helai. Masukkan garam ke dalam baskom, beri air dan aduk garam hingga semuanya larut dan masukkan kulit pisang yang sudah dicuci tadi"", ""Panaskan panci kukusan. Masukkan kulit pisang dan kukus selama 30 menit."",""Setelah 30 menit, keluarkan kulit pisang dari panci kukusan lalu dinginkan. Setelah dingin, potong2 kulit pisang dan masukkan ke dalam chopper, giling tanpa air hingga kulit pisang hancur "", ""Campurkan semua bahan steak ke dalam baskom, aduk hingga semuanya rata. Bentuk bulatan pipih"", ""Panaskan oven di suhu 180°C dan panggang selama 20 menit.Balik hamburg di 10 menit pertama dan lanjutkan memanggang 10 menit lagi. Bila memakai teflon, pakai sedikit minyak saja gunakan api kecil dan balik hamburg setiap 4 menit. (me : grill pan)', ""Hamburg siap disajikan dengan saus dan pelengkapnya.""]","['100 gram kulit pisang yang sudah diolah', '100 gram ayam giling', '35 gr wortel parut', '3 keping malkis / 20 gr tepung roti', '30 gr keju parut', '50 gr bawang bombay, cincang kasar', '1 butir telur', '1/2 sdt garam', '1/4 sdt lada hitam kasar', 'Pelengkap : Buncis rebus, Kentang goreng, Wortel rebus, Saus jamur']",https://cookpad.com/id/resep/16928609-hamburg-steak-kulit-pisang
Sempol jamur dan kulit pisang,,"[""uci bersih jammur tiram, wortel, bawang, daun bawang dan seledri, kemudian chopeer, Pada tahap ini bisa tambahkan kulit pisang sekaligus ya"", ""Tambahkan tepung tapioka, terigu dan maizena, kemudian bumbu-bumbu yang lain, aduk rata"", ""Tambahkan telur, aduk rata lagi,Olesi tangan dengan minyak lalu Ambil 1 sdm adonan dan kepalkan"", "" Didihkan air, beri sedikit minyak, lalu cemplungkan adonan sempol tadi, biarkan mengapung beberapa menit, lalu tiriskan dan dinginkan"", ""Kocok 1 butir telur, tambahkan sedikit garam, masukkan sempol yang sudah direbus tadi"", ""Goreng hingga matang""]","['50 gr kulit pisang siap olah', '142 gr jamur tiram', '2 buah wortel ukuran kecil', '1 batang daun bawang', '1 batang seledri', '4 siung bawang merah', '4 siung bawang putih', '100 gr tepung sagu (me:tapioka)', '50 gr maizena', '50 gr terigu', '1 butir telur', '1 sdt kaldu jamur', '1 sdt garam', '1/2 sdt garam', 'Minyak goreng', 'Secukupnya air+1 sdm minyak utk merebus sempol', 'Bahan pelapis :1 butir telur, Tepung panir (optional)']",https://cookpad.com/id/resep/17014762-sempol-jamur-dan-kulit-pisang
Kulit pisang siap olah,,"[""Cuci perlembar kulit pisang, lalu rendam dengan air garam selama kurang lebih 2 jam, Bilas dengan air mengalir lalu tiriskan"", ""Panaskan kukusan, lalu kukus kulit pisang selama 30 menit, Setelah 30 menit, matikan api, biarkan dingin"", ""Potong sekitar 3cm lalu blender/chopper sampai halus"",""Bisa langsung digunakan untuk memasak atau disimpan dulu di freezer,""]","['10 buah kulit pisang(saya pakai pisang ijo)', '1 sdm garam', '1,5 liter air']",https://cookpad.com/id/resep/17010579-kulit-pisang-siap-olah
Sempol Ayam Kulit Pisang,,"[""Masukkan ayam, wortel, daun bawang, sledri, bawang merah, bawang putih dan telur ke dalam chopper, haluskan. Masukkan kulit pisang siap olah, haluskan kembali."", ""Campur adonan dengan tepung sagu, maizena dan tepung terigu. Tambahkan garam, kaldu jamur dan lada bubuk. Aduk hingga merata."", ""Siapkan stick ice cream. Ambil 1 sdm adonan, bentuk adonan pada stik ice cream (olesi telapak tangan dengan minyak, agar adonan tidak melengket). Lakukan sampai adonan habis."",""Didihkan air dan 1 sdm minyak goreng. Rebus sempol hingga mengapung, pertanda sempol telah matang. Kemudian angkat dan tiriskan. jika ingin dijadikan frozen food, sempol dapat dikemas dalam wadah kedap udara dan disimpan dalam freezer untuk dapat diolah sewaktu-waktu;"", ""Kocok 1 butir telur. Celup sempol di kocokan telur, kemudian goreng di minyak panas hingga matang. Sempol ayam siap dinikmati, bisa dicocol juga di sambal.Selamat mencoba yaa""]","['50 gr kulit pisang siap olah', '100 gr daging ayam', '1 bh wortel', '1 btg daun bawang', '1 btg sledri', '4 bh bawang merah', '4 siung bawang putih', '80 gr tepung sagu', '30 gr maizena', '30 gr terigu', '1 btr telur', '1/2 sdt kaldu jamur', '1/2 sdt garam', '1/4 sdt lada bubuk', 'Secukupnya minyak goreng', 'Secukupnya air + 1 sdm minyak goreng untuk merebus sempol', 'Bahan pelapis :1 butir telur, Secukupnya tepung panir']",https://cookpad.com/id/resep/16939323-357-sempol-ayam-kulit-pisang
"Pizza Topping Kulit Pisang dan Jamur, Sosis #64",,"['Membuat Dough :', ""Campur tepung terigu, gula pasir, ragi instan dan air tuang sedikit demi sedikit mixer hingga setengah kalis."", ""Tambahkan minyak dan garam aduk sampai rata, tidak lengket di tangan."", "" Diamkan selama 1 jam tutup dengan serbet bersih"","""" 'Cuci bersih Jamur kancing, potong-potong sesuai selera., 'Potong Bawang bombay', 'Keluarkan pisang siap olah dalam kulkas', 'Panaskan wajan tambahkan minyak goreng, oseng daun bawang sampai harum, tambahkan jamur kancing dan kulit pisang siap olah aduk rata hingga layu, matikan Api. Sisihkan', 'Setelah adonan dough didiamkan selama 1 jam', ""Kempeskan adonan, dengan cara dipukul2"", ""Timbang ± 35 - 40 gr bulatkan, kemudian pipihkan dg rolling pin, lakukan sampai habis"", ""Tusuk-tusuk dengan garpu"", 'panaskan oven terlebih dahulu di suhu 180°C api atas bawah selama 10-15 menit (sesuaikan oven masing-masing), 'oles adonan dough dengan saos barbeque atau saos tomat, tambahkan kulit pisang yg sudah diolah dg jamur dan bawang bombay. Tambahkan sosis', 'Tambahkan keju melt/Cheddar parut, terakhir tabur oregano dan oven selama 20-25 menit (tergantung oven masing-masing)', 'setelah Matang keluarkan dari Oven, sajikan, Selamat mencoba ']","['Bahan Dough', '350 gr Tepung Pro Tinggi (me : 200 Pro Tinggi + 150 Pro sedang) Pro Tinggi pas Habis', '225 air (me : air matang)', '1,5 sdt ragi instan', '3 sdm Gula Pasir (50 gr)', '2 sdm olive oil (me : minyak goreng biasa)', '1/2 sdt Garam (me : Himsalt)']
['Bahan Tumisan Jamur', '70 gr jamur Kancing (resep asli : 100 gr)', '80 gr kulit pisang siap olah (resep asli : 50 gr)', '1 buah bawang bombay', '1 sdm olive oil (me : minyak goreng)']
['Bahan Topping :', '4 buah sosis', 'Secukupnya saos barbeque (resep asli saos tomat)', 'Secukupnya Mayones', 'Secukupnya oregano', 'Secukupnya keju Melt (me : keju Cheddar Kraff)']",https://cookpad.com/id/resep/16935058-pizza-topping-kulit-pisang-dan-jamur-sosis-64
Brownies Selai Kulit Pisang(Gluten Free),,"[""Lelehkan cokelat"", ""campur dan ayak bahan B"", ""siapkan semua bahan"", ""Campur telur dan gula palm,aduk dengan whisker hingga rata"", ""Masukkan bahan A,aduk rata. Lalu tuang bahan B aduk rata kembali"", ""Setelah semua adonan rata, segera tuang ke dalam loyang uk 20x20 cm (me: loyang uk 22x10, hentakan beberapa kali agar gelembung udara hilang."", ""Pasang sekat loyang jika pakai loyang sekat dan Tambahkan toping sesuai selera."", "" Diamkan beberapa menit sambil oven dipanaskan terlebih dahulu pada suhu 200 derajat celcius selama 5 menit."", ""Panggang adonan dengan suhu 180 derajat celcius api atas bawah 40-45 menit/ hingga matang sesuaikan dengan oven masing² "", ""Angkat dan dinginkan di colling rack. Brownies Selai kulit Pisang siap dinikmati.""]","['Bahan A lelehkan', '150 gr DCC', '3 sdm CCO/VCO/minyak goreng']
['Bahan B campur dan ayak', '100 gr tepung mocaf', '1/2 sdt garam', '1/2 sdt vanili bubuk', '1/4 sdt baking powder (boleh skip)', '300 gr selai kulit pisang']
['Bahan C', '75 gr brown sugar/gula palm', '2 butir telur']
['Bahan D Topping', 'Cokelat Milo', 'cokelat stik', 'kacang Mede']",https://cookpad.com/id/resep/16932762-brownies-selai-kulit-pisanggluten-free
Selai Kulit Pisang,,"[""Larutkan garam ke dalam 450 ml air, rendam selama 2 jam kulit pisang yg alsusah dicuci bersih.Setelah itu bilas diair mengalir utk menghilangkan sisa garam.Kemudian blender dengan pisang, gula pasir dan 50 ml air sisa."", ""Tuang adonan ke panci, tambahkan susu bubuk, sisa adonan di blender dpt diaduk dg sedikit air."", ""Tambahkan juga vanila dan coklat bubuk"", ""Aduk rata. Koreksi rasa. Masak sampai meletup2, matikan api dan tambahkan margarine. Aduk rata."", ""Angkat dan dinginkan sebelum disimpan dalam toples kedap udara""]","['125 gr kulit pisang ambon', '1 sdm garam', '600 ml air', '2 buah pisang raja masak', '250 ml air', '25 gr gula pasir', '1 sdm susu bubuk', '1 sdt vanila', '20 gr coklat bubuk', '1 sdm margarine']",https://cookpad.com/id/resep/16930998-131-selai-kulit-pisang
Bolu Kukus Coklat Kulit Pisang,,"[""Siapkan kulit pisang. Keruk bagian putihnya menggunakan sendok. Rendam di air garam selama 3 jam."", ""Cuci bersih kulit pisang yang sudah direndam. Kukus 30 menit. Biarkan hingga dingin."", ""Jika sudah dingin, haluskan kulit pisang. Bisa diulek, diblender atau menggunakan Chopper. Kulit pisang siap digunakan."", ""Bolu :Mixer hingga mengembang dan stiff peak telur, gula pasir dan SP dengan speed tinggi. Takaran gula boleh ditambah sedikit jika suka manis."", ""Masukkan kulit pisang. Mixer asal rata dengan speed rendah."", ""Tambahkan campuran tepung secara bertahap, mixer dengan kecepatan rendah atau gunakan spatula.Tuang margarin, aduk balik hingga rata."", ""Tuang ke cetakan 22x10 yang dialasi baking paper.Kukus dengan api besar selama 40 menit. Punya saya dengan api besar mekar atasnya mungkin next coba pakai api kecil.""]","['250 gram kulit pisang kepok (7 buah kulit)', '1 sdm garam', '1 liter air', '2 butir telur uk. besar (asli 3 butir)', '115 gula pasir (asli 100 gram gula kelapa halus)', '1/2 sdt SP', '100 gram kulit pisang kukus siap pakai', '150 gram tepung pro rendah', '3 sdt coklat bubuk', '1 sdm susu bubuk', '200 gram margarin, lelehkan']",https://cookpad.com/id/resep/16928458-bolu-kukus-coklat-kulit-pisang
Muffin (Selai Kulit Pisang & Pisang),,"[""Dalam mangkok, campur: selai kulit pisang & pisang. Haluskan"", ""Tambahkan gula pasir & margarin yang sudah dilelehkan. Aduk rata. Tambahkan minyak sayur & aduk balik."", ""Masukkan tepung terigu, baking soda, & garam. Aduk rata. Note: di resep asli pakai coklat bubuk, disini aku skip."", ""Tambahkan Chocochips & aduk."", ""Masukkan adonan dalam cup."", ""Panaskan oven. Panggang selama 30 menit (sesuaikan oven masing2) dalam suhu 180⁰C menggunakan api atas bawah."", ""Muffin pisang (perpaduan selai kulit pisang & pisang) siap disajikan. Selamat menikmati.""]","['150 gram selai kulit pisang', '150 gram pisang (1 pisang Ambon & 2 pisang kepok)', '100 gram gula pasir', '70 gram margarin lelehkan (resep asli 85 gram)', '50 ml minyak sayur', '170 gram tepung terigu (resep asli 160 gram)', '3/4 sdt baking soda (resep asli 2 sdt baking powder)', '1/2 sdt garam', '50 gram Chocochips]",https://cookpad.com/id/resep/16930132-muffin-selai-kulit-pisang-pisang
Bakwan Sayur Kulit Pisang,,"[""Siapkan semua bahan. Potong2 wortel, kol sesuai selera, cuci bersih juga tauge di air mengalir, tiriskan. Sisir halus daun bawang dan seledri. Siapkan bumbu halus, ulek hingga halus. Sisihkan."", ""Siapkan tepung untuk bakwan diwadah, beri air, aduk. Tambahan kaldu jamur, aduk rata, masukkan sayuran, aduk rata dan koreksi rasa. Goreng diapi sedang hingga kuning keemasan. Bila sudah matang, angkat. Tiriskan dari minyak."", ""Sambil menunggu gorengan matang siapkan sambal kacangnya. Tata dipiring saji bakwannya dan sambal kacangnya. Siap disantap.""]","['1 batang wortel', '50 gr touge', '70 gr kol', '1 batang daun bawang', '1 batang daun seledri', '1/2 sdt kaldu jamur', '5 sdm kulit pisang siap pakai', '10 sdm tepung untuk bakwan Sasa', '50 ml air matang', 'Secukupnya minyak untuk menggoreng', 'Bumbu Halus', '3 siung bawang putih', '1/2 sdt lada', '1/2 sdt garam', '1 buah cabe merah (optional)', '1 buah rawit (optional)', 'Pelengkap: Sambal kacang']",https://cookpad.com/id/resep/13852132-bakwan-sayur-kulit-pisang
Katsu Kulit Pisang,,"[""Masukkan semua bahan katsu dalam chopper, proses hingga halus. Ambil secukupnya adonan, letakkan di tepung roti, balur rata, angkat pakai spatula soalnya susah kalau pakai tangan."", ""Goreng segera dalam minyak panas, hingga kecoklatan, angkat dan tiriskan. Campur dalam wadah, saos sambal, saos tomat, kecap manis, kecap asin dan air, aduk rata. Tumis bawang putih hingga layu, masukkan bawang bombay, tumis hingga wangi."", ""Masukkan wortel,aduk hingga wortel layu, lalu masukkan campuran saos, beri gula, garam dan kaldu bubuk, terakhir tuang larutan maizena, aduk dan masak hingga mengental, cek rasa. Sajikan katsu dengan saos nya.""]","['100 gram kulit pisang siap olah', ' 75 gram tepung terigu', '40 gram tepung maizena', '2 butir telur', '1 buah bawang bombay ukuran kecil', '1/4 sdt garam', '1/2 sdt kaldu bubuk', '1/4 sdt lada bubuk', 'Tepung roti secukupnya untuk lapisan']
['Bahan saos :', '1/2 buah bawang bombay, iris', '2 siung bawang putih, iris', '1 buah wortel, potong dadu', '1 sdm saos tomat', '2 sdm saos sambal', '2 sdm kecap manis', '1 sdt kecap asin', '150 ml air', 'Secukupnya gula, garam dan kaldu bubuk', '1 sdt tepung maizena, larutkan', 'Secukupnya minyak untuk menumis']",https://cookpad.com/id/resep/16929167-katsu-kulit-pisang
Es Krim Kulit Pisang,,"[""Cuci bersih kulit pisang, buang bagian ujung yang hitam dan kering. Rebus dengan air dan garam selama 15 menit. Lalu potong-potong."", ""Haluskan kulit pisang yang sudah dipotong-potong dengan sebagian susu cair. Lalu saring ke panci."", ""Dalam panci, tambahkan sisa susu cair, SKM dan gula pasir. Masak dengan api kecil sampai mendidih. Lalu tambahkan tepung maezena yang sudah dilarutkan dengan sedikit air. Masak sampai mengental."", ""Dinginkan adonan di panci, lalu sisihkan ke tempat lain. Simpan di freezer minimal 6 jam atau sampai beku. *Note: resep aslinya setelah beku, eskrimnya dikeruk semua, lalu ditambah dengan sp cair, kemudian mixer sampai tercampur. Masukkan lagi ke kulkas selama 4 jam. Sy tidak tambahkan sp lagi, hasilnya jg sudah lembut."", ""Eskrim kulit pisang siap disantap bersama keluarga.""]","['Kulit pisang dari 3 buah pisang ambon', '500 ml susu cair', '100 ml SKM putih', '10 sdm gula pasir', '3/4 sdt garam', '2 sdt vanilla essence (skip)', '6 sdm tepung maezena', '2 sdt sp (skip)']",https://cookpad.com/id/resep/16929357-es-krim-kulit-pisang
Keripik Belut Vegan (dari kulit pisang),,"[""Kerok bagian dalam pisang yg berwarna putih sampai habis (tersisa hanya kulit luarnya saja dan kulit mjd agak tipis)..lakukan sampai kulit habis dan sisihkan."", ""Cuci bersih kulit sambil dihilangkan sisa bagian putihnya yg msh menempel...lalu rendam selama 30 menit"", ""Sementara merendam kulit pisang, campur semua bahan kering dalam wadah...uleg bumbu halus..campur bumbu halus ke dalam wadah bahan kering.. tambahkan air..aduk rata, test rasa"", ""Potong memanjang kulit pisang..masukkan ke adonan tepung..goreng dalam minyak panas sampai garing."", ""Keripik belut vegan a.k.a keripik kulit pisang siap dinikmati""]","['Bahan utama :', '7 lembar kulit pisang (dari 7 buah pisang kepok ukuran besar)', 'Secukupnya minyak untuk menggoreng keripik']
['Bumbu halus :', '2 siung bawang putih', '1/2 sdt ketumbar (me: ketumbar bubuk)']
['Bumbu tepung baluran :', '100 gr tepung beras', '1 sdm tepung tapioka', 'Secukupnya garam', 'Secukupnya air']",https://cookpad.com/id/resep/16927832-keripik-belut-vegan-dari-kulit-pisang
Steak Kembang Kol bumbu tomat cocok untuk diet,,"[""Belah 1/3 kembang kol. Lalu belah lagi. Bentuk menjadi steak datar, rendam dengan air."", ""Panggang kembang kol dengan olive oil hingga kecoklatan di dua belah sisi."", ""Masukkan tomat dan cabai. Tambah garam dan merica. Tumis sebentar. Tambahkan air kaldu. Tutup frypan."", ""Masak hingga kembang kol empuk. Masukkan seledri. Aduk rata, dan biarkan hingga air nyaris habis."", ""Sajikan selagi hangat.""]","['1/2 kembang kol (diambil yang bagian tengah)', 'secukupnya Air garam', '10 buah tomat ceri (bisa diganti 1 buah tomat biasa)', '3 tangkai seledri', '3 buah cabai rawit merah (opsional)', '3 sdm olive oil', '50 ml air kaldu', 'secukupnya Garam dan merica']",https://cookpad.com/id/resep/17189987-steak-kembang-kol-bumbu-tomat-cocok-untuk-diet
Sambel Kulit Jeruk,,"[""Bersihkan kulit jeruk, buang lapisan putihnya, cuci bersih, lalu iris-iris."", ""Ulek Cabai, bawang putih, garam dan kaldu jamur. Masukkan kulit jeruk sambil sedikit ditekan-tekan dengan ulekan."", ""Siram dengan minyak panas,Sajikan.""]","['1 buah jeruk Sunkist, ambil kulitnya', '7 buah cabe rawit merah,resep aslinya enam buah', '1/2 sdt garam', '1/4 sdt kaldu jamur', '1/4 sdt gula pasir (skip)', '2 sdm minyak panas']",https://cookpad.com/id/resep/17165119-188-sambel-kulit-jeruk
Permen kulit jeruk,,"[""Bersihkan kulit jeruk dari bagian putih- putihny unt mengurangi rasa pahit"", ""Siapkan air dan beri garam aduk rata kemudian masukan kulit jeruk cuci bersih"", ""Masak air dan beri 1 sdm gula pasir, 1/4 sdt garam sampai mendidih, masukan kulit jeruk aduk- aduk biarkan kurang lebih 5 menit lalu tiriskan"", ""Potong- potong kulit jeruk sesuai selera kalau aku seperti korek api tapi agak lebar"", ""Rebus 6 sdm gula pasir dg 6 sdm air aduk- aduk, pakai api kecil, tunggu sampai mengental dan airnya berkurang, setelah itu masukan kulit jeruk aduk- aduk"", ""Setelah melekat matikan kompor siapkan gula pasir untuk taburan, ambil satu- satu letakkan diatas gula pasir lalu gulikan"", ""Letakan diatas tempat biarka pada suhu ruang, setelah kering masukan toples""]","['Kulit jeruk dari 2 buah jeruk', '6 sdm gula pasir untuk karamel', '1 sdt garam untuk mencuci', '1 sdm gula untuk merebus', '100 gr gula untuk taburan']",https://cookpad.com/id/resep/17062938-permen-kulit-jeruk
Teh Kulit Jeruk,,"[""Kulit jeruk dikerok bagian putihnya. Rendam kulit jeruk dengan cuka beras dan air supaya sisa pestisida hilang. Setelah 10 menit direndam, dibilas hingga bersih, tiriskan."", ""Kulit jeruk diparut."", ""Masukan teh, cengkeh dan kayu manis bubuk. Gelas ditutup pakai plastic wrap, biarkan minimal 1 jam di suhu ruang."", ""Setelah 1 jam, masak bersama dengan air sampai mendidih."", ""Setelah mendidih, angkat dan disaring. Beri madu sesuai selera. Dinikmati hangat-hangat nikmat sekali, tenggorokan jadi lebih lega.""]","['3 buah jeruk murcot diambil kulitnya', '1 sdm teh tubruk', '6 butir cengkeh', '1/2 sdt kayu manis bubuk', '500 ml air', 'Cuka beras / cuka apel ']",https://cookpad.com/id/resep/16931656-teh-kulit-jeruk
Symple Syrup Orange (Pakai Kulit Jeruk),,"[""Bersihkan bagian putih kulit jeruk menggunakan sendok pengerok daging kelapa muda. Saya kerok tidak terlalu bersih."", ""Kulit jeruk diiris tipis, lalu diberi garam kasar ½ sdt, tujuannya supaya sisa pestisida di kulit jeruk hilang. Beri air sampai kulit jeruk terendam, rendam selama 5 menit lalu cuci sampai bersih."", ""Masukan kulit jeruk, air dan gula ke dalam panci. Masak hingga kental. Symple syrup orange bisa langsung dinikmati. Bisa dijadikan campuran berbagai minuman.""]","['4 buah jeruk diambil kulitnya', '250 ml gula pasir', '250 ml air', '1/2 sdt garam kasar (tambahan saya)']",https://cookpad.com/id/resep/16931288-symple-syrup-orange-pakai-kulit-jeruk
Manisan Kulit Jeruk,,"[""Jeruk Sunkist diperas, lalu kulitnya direbus. Air perasannya disisihkan."", ""Setelah kulit agak lunak, tiriskan. Setelah agak dingin, buang bagian putihnya, lalu iris2 tipis."", ""Masukkan irisan jeruk ke panci, beri air perasan jeruk dan gula. Masak hingga mengental. Aduk-aduk terus supaya tdk gosong."", ""Angkat jika airnya sudah mengering. Pi Dahlan ke piring, lalu diangin-angin sebentar. Setelah tidak panas, taburkan gula pasir."", ""Pindahkan ke dalam wadah tertutup supaya ga dikerubuti semut. Manisan bisa dicemilin begitu saja, bisa dijadikan topping minuma""]","['1 buah jeruk Sunkist', '3 sdm gula']",https://cookpad.com/id/resep/16930221-manisan-kulit-jeruk
Es Kopi Kulit Jeruk,,"[""Parut kulit jeruk, atau bisa iris tipis. Jangan sampai bagian yg putih kena ya. Nanti akan pahit"", ""Parut kulit jeruk, atau bisa iris tipis. Jangan sampai bagian yg putih kena ya. Nanti akan pahit"", ""Tuang ke gelas saji, tambahan susu cair aduk rata"", ""Masukkan es batu dan sajikan""]","['2 sdt kopi', '3 SDM gula palm', '1 SDM parutan kulit jeruk', '5 bh cengkeh', '3 cm kayu manis', '200 ml air', '100 ml susu cair', 'secukupnya Es batu']",https://cookpad.com/id/resep/16799340-es-kopi-kulit-jeruk
Es Jeruk Sunkist Telang,,"[""Belah jeruk sunkist, kemudian peras ambil airnya"", ""Seduh bunga telang dengan air panas. Bisa juga didihkan air dengan bunga telang hingga berubah warna (warnanya akan lebih pekat)"", ""Letakkan di gelas, beri gula pasir. Aduk hingga gula larut"",""Masukkan es batu ke gelas"", ""Masukkan sari buah jeruk sunkist"", ""Sajikan, jangan lupa diaduk. Selamat mencoba""]","['1 buah jeruk sunkist', '15 buah bunga telang kering', '200 ml air panas', '2-3 sdm gula pasir (sesuai selera)', 'secukupnya Es batu']",https://cookpad.com/id/resep/17099279-es-jeruk-sunkist-telang
